method,round,domain,em,f1,containment,num_samples
fedit,0,squad,74.5,82.43592761228585,86.5,200
fedit,0,newsqa,49.0,61.3446409799351,71.5,200
fedit,0,triviaqa,65.5,71.225,76.5,200
fedit,0,naturalquestions,54.5,68.070988651871,76.5,200
fedit,0,macro_average,60.875,70.76913931102298,77.75,800
fedit,1,squad,69.5,82.5205224514048,88.5,200
fedit,1,newsqa,47.0,62.095751973344846,73.0,200
fedit,1,triviaqa,71.5,75.18030303030304,78.0,200
fedit,1,naturalquestions,59.0,72.91513149691055,81.5,200
fedit,1,macro_average,61.75,73.17792723799082,80.25,800
fedit,2,squad,75.0,85.73625726629197,91.0,200
fedit,2,newsqa,49.0,64.74200301332654,75.5,200
fedit,2,triviaqa,71.0,75.0,79.5,200
fedit,2,naturalquestions,59.0,73.99184214478332,84.5,200
fedit,2,macro_average,63.5,74.86752560610046,82.625,800
fedit,3,squad,69.5,81.97381140101729,90.5,200
fedit,3,newsqa,46.0,62.81673800056153,76.0,200
fedit,3,triviaqa,73.5,76.88690476190476,79.5,200
fedit,3,naturalquestions,55.0,69.6927853192559,77.5,200
fedit,3,macro_average,61.0,72.84255987068487,80.875,800
fedit,4,squad,73.5,84.21077443798032,89.5,200
fedit,4,newsqa,46.5,62.856261336322895,75.0,200
fedit,4,triviaqa,73.0,77.59675324675325,81.0,200
fedit,4,naturalquestions,60.0,74.24813568784157,84.0,200
fedit,4,macro_average,63.25,74.7279811772245,82.375,800
fedit,5,squad,77.5,86.68475756551314,92.5,200
fedit,5,newsqa,48.0,67.00920528779626,76.5,200
fedit,5,triviaqa,72.0,77.14166666666667,80.5,200
fedit,5,naturalquestions,61.0,75.21358429152546,84.0,200
fedit,5,macro_average,64.625,76.51230345287539,83.375,800
fedit,6,squad,79.5,87.1902075049134,90.0,200
fedit,6,newsqa,48.5,65.41177817242797,76.5,200
fedit,6,triviaqa,73.0,77.8573593073593,80.5,200
fedit,6,naturalquestions,59.0,73.10757086051204,82.0,200
fedit,6,macro_average,65.0,75.89172896130319,82.25,800
fedit,7,squad,75.0,87.10494138214726,93.0,200
fedit,7,newsqa,47.0,65.13125797405209,75.5,200
fedit,7,triviaqa,73.5,78.10833333333333,81.5,200
fedit,7,naturalquestions,60.0,73.30273419391067,81.5,200
fedit,7,macro_average,63.875,75.91181672086084,82.875,800
fedit,8,squad,76.0,87.11724296944885,92.5,200
fedit,8,newsqa,48.5,64.97488906002837,74.5,200
fedit,8,triviaqa,73.5,77.63225806451612,81.0,200
fedit,8,naturalquestions,59.5,72.36103128897247,82.0,200
fedit,8,macro_average,64.375,75.52135534574145,82.5,800
fedit,9,squad,76.5,87.34394788218316,91.0,200
fedit,9,newsqa,47.5,64.78446281960214,75.0,200
fedit,9,triviaqa,73.0,76.98333333333333,79.5,200
fedit,9,naturalquestions,58.0,73.78608368755428,84.0,200
fedit,9,macro_average,63.75,75.72445693066823,82.375,800
