method,round,domain,em,f1,containment,num_samples
centralized,0,squad,74.5,86.03575903193043,90.5,200
centralized,0,newsqa,47.0,64.44579996236057,76.5,200
centralized,0,triviaqa,69.0,73.875,78.0,200
centralized,0,naturalquestions,61.5,74.65667756132153,82.0,200
centralized,0,macro_average,63.0,74.75330913890313,81.75,800
centralized,1,squad,76.0,86.58493312243313,91.5,200
centralized,1,newsqa,48.5,65.79335076688018,75.5,200
centralized,1,triviaqa,66.0,71.98809523809524,78.0,200
centralized,1,naturalquestions,60.5,73.89321299615418,82.5,200
centralized,1,macro_average,62.75,74.56489803089067,81.875,800
centralized,2,squad,76.5,87.18708731000127,90.0,200
centralized,2,newsqa,43.5,62.47160105669108,73.0,200
centralized,2,triviaqa,70.0,72.83333333333333,76.5,200
centralized,2,naturalquestions,61.0,74.18131517175635,82.0,200
centralized,2,macro_average,62.75,74.16833421794551,80.375,800
centralized,3,squad,77.0,89.14128531768624,93.0,200
centralized,3,newsqa,46.0,65.58203194036786,74.5,200
centralized,3,triviaqa,73.0,76.5,80.0,200
centralized,3,naturalquestions,59.0,72.65979146126205,80.5,200
centralized,3,macro_average,63.75,75.97077717982904,82.0,800
centralized,4,squad,75.5,86.81576737246242,91.5,200
centralized,4,newsqa,45.0,63.131654825521764,73.0,200
centralized,4,triviaqa,73.0,75.98333333333333,80.0,200
centralized,4,naturalquestions,59.5,72.80785761079879,81.0,200
centralized,4,macro_average,63.25,74.68465328552908,81.375,800
centralized,5,squad,75.0,87.67052417570085,92.0,200
centralized,5,newsqa,46.5,62.11903666041401,71.0,200
centralized,5,triviaqa,69.0,72.60833333333333,77.0,200
centralized,5,naturalquestions,62.5,74.13651212621801,80.5,200
centralized,5,macro_average,63.25,74.13360157391655,80.125,800
centralized,6,squad,75.0,87.30236616221674,91.0,200
centralized,6,newsqa,50.5,65.16686138470932,72.0,200
centralized,6,triviaqa,71.0,73.78030303030303,79.5,200
centralized,6,naturalquestions,58.5,74.03585045129162,82.0,200
centralized,6,macro_average,63.75,75.07134525713018,81.125,800
centralized,7,squad,75.5,88.0093987458892,92.5,200
centralized,7,newsqa,49.0,66.01468632948884,74.5,200
centralized,7,triviaqa,70.5,73.5,77.0,200
centralized,7,naturalquestions,63.0,73.7020273299685,81.0,200
centralized,7,macro_average,64.5,75.30652810133664,81.25,800
centralized,8,squad,75.5,88.18642421215951,91.5,200
centralized,8,newsqa,44.5,62.79361765169815,73.5,200
centralized,8,triviaqa,70.5,72.69444444444444,76.5,200
centralized,8,naturalquestions,60.5,74.08304076098193,82.0,200
centralized,8,macro_average,62.75,74.43938176732101,80.875,800
centralized,9,squad,75.0,86.04661201801295,90.0,200
centralized,9,newsqa,47.0,65.49512802003478,75.5,200
centralized,9,triviaqa,68.0,70.61666666666666,73.5,200
centralized,9,naturalquestions,59.0,72.14532748691072,81.5,200
centralized,9,macro_average,62.25,73.57593354790627,80.125,800
