method,round,domain,em,f1,containment,num_samples
fedrotlora,0,squad,71.0,80.8762051012051,88.0,200
fedrotlora,0,newsqa,47.5,59.78417610664414,70.5,200
fedrotlora,0,triviaqa,61.5,68.02579175210754,74.0,200
fedrotlora,0,naturalquestions,55.0,67.90428786899375,75.0,200
fedrotlora,0,macro_average,58.75,69.14761520723764,76.875,800
fedrotlora,1,squad,75.0,84.00707634659247,91.0,200
fedrotlora,1,newsqa,49.5,64.72889615830792,74.0,200
fedrotlora,1,triviaqa,71.0,75.85887445887445,79.5,200
fedrotlora,1,naturalquestions,57.5,70.25747570283174,78.0,200
fedrotlora,1,macro_average,63.25,73.71308066665165,80.625,800
fedrotlora,2,squad,75.5,84.34169961805785,89.0,200
fedrotlora,2,newsqa,49.0,64.05472259728415,75.5,200
fedrotlora,2,triviaqa,70.0,75.84220779220779,79.5,200
fedrotlora,2,naturalquestions,64.0,75.29291802968274,83.5,200
fedrotlora,2,macro_average,64.625,74.88288700930813,81.875,800
fedrotlora,3,squad,71.5,82.13013285733874,89.0,200
fedrotlora,3,newsqa,47.0,62.25171136053489,75.0,200
fedrotlora,3,triviaqa,71.0,75.37142857142857,78.5,200
fedrotlora,3,naturalquestions,58.0,73.07163179957297,82.0,200
fedrotlora,3,macro_average,61.875,73.20622614721879,81.125,800
fedrotlora,4,squad,72.0,83.68083449488248,90.5,200
fedrotlora,4,newsqa,49.5,64.73511700717583,76.0,200
fedrotlora,4,triviaqa,74.0,76.73333333333333,78.5,200
fedrotlora,4,naturalquestions,61.0,74.02216427363486,83.5,200
fedrotlora,4,macro_average,64.125,74.79286227725663,82.125,800
fedrotlora,5,squad,76.5,86.66489292011738,91.0,200
fedrotlora,5,newsqa,46.5,65.11881697240794,76.0,200
fedrotlora,5,triviaqa,71.5,76.22749615975422,81.0,200
fedrotlora,5,naturalquestions,62.5,76.40105329222976,85.0,200
fedrotlora,5,macro_average,64.25,76.10306483612733,83.25,800
fedrotlora,6,squad,78.0,87.55216637937227,92.0,200
fedrotlora,6,newsqa,49.5,66.0495632385069,75.0,200
fedrotlora,6,triviaqa,74.5,78.86082949308756,81.5,200
fedrotlora,6,naturalquestions,61.5,74.44782265281437,84.5,200
fedrotlora,6,macro_average,65.875,76.72759544094528,83.25,800
fedrotlora,7,squad,74.0,84.98098013098013,90.5,200
fedrotlora,7,newsqa,47.5,65.9873344101359,77.5,200
fedrotlora,7,triviaqa,74.5,78.56363636363636,82.5,200
fedrotlora,7,naturalquestions,58.0,73.58356692327281,83.5,200
fedrotlora,7,macro_average,63.5,75.7788794570063,83.5,800
fedrotlora,8,squad,74.5,85.74122674710911,92.5,200
fedrotlora,8,newsqa,50.0,66.71502141611239,76.5,200
fedrotlora,8,triviaqa,71.5,75.24166666666666,79.0,200
fedrotlora,8,naturalquestions,57.5,72.68850835864902,82.5,200
fedrotlora,8,macro_average,63.375,75.09660579713429,82.625,800
fedrotlora,9,squad,76.0,86.8376525435349,91.0,200
fedrotlora,9,newsqa,48.0,65.09213265504691,74.0,200
fedrotlora,9,triviaqa,71.5,76.97749615975422,81.0,200
fedrotlora,9,naturalquestions,60.0,74.11993921111568,85.0,200
fedrotlora,9,macro_average,63.875,75.75680514236294,82.75,800
